구분,음식명,영문,음식설명
구이,갈비구이,Marinated and Grilled Beef Short Ribs ,"Beef short ribs marinated in a mixture of soy sauce, green onions, garlic, black pepper, sugar and sesame oil for a few hours, then grilled. Marinated short ribs are called yangnyeom-galbi and ribs which are not marinated are called saenggalbi. Galbi-gui is also known as bulgalbi. This is one of the most popular dishes in Korea."
찜,갈비찜,Braised Short Ribs,"Beef short ribs cut into chunks, seasoned with soy sauce, garlic, sugar and other spices, then simmered over a long period with pieces of Korean radish, carrots, chestnuts, jujubes, and ginkgo nuts. The dish is topped with julienned egg garnish and ground pine nuts."
"국,탕",갈비탕,Short Rib Soup/,
구이,갈치구이,Grilled Hairtail ,"Hairtail (a long, flat silver fish) cut into 10 centimeter lengths and grilled with salt."
조림,갈치조림,Braised Hairtail ,"Hairtail (a long, fiat silver fish) cut into l0 centimeter lengths and braised with white radish or other vegetables in soy sauce until reduced."
과일류,감,Persimmon ,
서류,감자,Potato ,
떡,감자떡,Potato Cake ,Small cakes made of potato starch mixed with a little salt and sugar.
볶음,감자볶음,Sauteed Potato ,Julienned potatoes sauteed in oil and served as a side dish.
떡,감자송편,Half-moon Potato Cake ,"Cakes made of potato starch with a sweet filling, folded into a half-moon shape and steamed."
"전,적",감자전,Pan-fried Potato ,Thin slices of potato dipped in a flour batter and pan-fried.
조림,감자조림,Braised Potato ,"Cubed potatoes braised with fish or dried anchovies, soy sauce and oil. Served as a side dish."
"국,탕",감잣국,Potato Soup ,Soup made of potato and green onions in a beef broth.
김치,갓김치,Mustard Leaf Kimchi ,"A kimchi made of gat, a kind of mustard leaf. The stems and leaves are seasoned with pickled anchovy sauce. The strong flavor of the mustard leaf and the anchovy is what makes this kimchi popular."
밥,강냉이밥,Rice with Corn ,"Rice cooked with mixed grains, corn, and kidney beans; served as an alternative to white rice."
죽,강냉이범벅,Corn and Grain Porridge ,"Porridge made of mashed corn with cooked red beans or other types of beans, thickened with glutinous rice flour."
한과,강정,Deep-fried Sweet Rice Puffs ,"Traditional treats made of sweet rice flour and liquor. They are cut into various shapes, dried in the shade, deep-fried in oil, and coated in honey and other sweet seasonings such as black bean, sesame seed, cinnamon, pine nut, and black sesame. They are usually hollow inside, and slightly sweet."
양념,갖은양념,Basic Seasonings ,"The main basic seasonings used to flavor most Korean dishes : soy sauce, green onions, garlic, black pepper, red chili pepper powder, sesame oil, and sesame seeds."
떡,개피떡,Half-moon Puffed Rice Cake,"Rice cake made with white rice flour, filled with red bean and folded into a half-moon shape. Also called baramtteok (wind rice cake) because it is puffed inside."
마른찬,건어포,Dried Fish Slices ,"Whole fish cleaned, salted, and dried in the open air."
김치,겉절이,Fresh Kimchi ,The leaves of Chinese cabbage or other leafy vegetables dressed in soy sauce and spices and served fresh as a side dish.
갑각류,게,Crab,"Koreans enjoy eating many types of crab including blue crab, tanner crab, freshwater crab, hairy crab and small crab. Crab is prepared in soups, casseroles or seasoned in soy sauce or red chili sauce."
"전,적",게살전,Crab Patries ,"Patties made of cooked crab meat seasoned with soy sauce, coated with flour and egg, then pan-fried."
젓갈,게장,Marinated Crab ,"Crabs are marinated in soy sauce for several days, then the soy sauce is removed, boiled, and poured back over the crabs several times. This dish may also be seasoned with spices and red chili sauce."
생채,겨자채,Assorted Cold Plate with Mustard Sauce,"Salad made with various cold cuts and fresh vegetables, dressed with a spicy mustard sauce."
양념,겨자초장,Mustard and Vinegar Sauce ,"Tangy sauce of mustard, vinegar and sugar. This generally accompanies cold dishes such as raw fish or naengchae, a dish consisting of thinly sliced vegetables and meat or seafood."
음청류,결명자차,Gyeolmyeongja Tea ,"A tea made with the dried seeds of the sicklepod plant, which can be served hot or cold. This tea is known for its clarifying effects on the liver and eyes."
떡,경단,Sweet Rice Balls ,"Rice cake made with glutinous rice flour, rolled into balls and cooked in boiling water. The cooked rice balls are then rolled in ground soybeans or red beans."
"국,탕",계란탕,Egg Soup ,Soup made by adding beaten eggs and chopped green onions to a boiling meat or vegetable broth.
음청류,계피차,Cinnamon Tea ,Tea made of dried whole cinnamon sticks boiled with a small amount of ginger. This tea is usually garnished with minced jujubes (Korean dates).
서류,고구마,Sweet Potato ,
나물,고구마순나물,Cooked Sweet Potato Stems ,"Side dish made with the stems of the sweet potato. The stems are blanched and seasoned, then lightly fried with oil."
"전,적",고구마전,Pan-fried Sweet Potato ,"Slices of sweet potato dipped in flour and egg, then pan-fried."
마른찬,고구마튀김,Deep-fried Sweet Potato ,Sweet potato cut into thin oval slices or strips and deep-fried.
김치,고들빼기김치,Godeulppaegi Kimchi ,A strongly flavored kimchi made with a wild flowering plant (godeulppaegi) which has been soaked in water for up to ten days to remove its bitter taste.
구이,고등어구이,Grilled Mackerel ,Mackerel sprinkled with salt and grilled.
조림,고등어조림,Braised Mackerel ,"Mackerel seasoned with soy sauce, green onions, garlic and red chili pepper powder, then braised over low heat until reduced."
고명,고명,Garnish ,"Popular Korean garnishes include thinly red chili pepper threads, julienned egg yolk and whites (the yolks and whites are separated, beaten, and pan-fried like crepes), minced jujubes (Korean dates), chestnuts, walnuts, ground pine nuts, cooked gingko nuts, sesame salt, minari (Korean parsley), carrots, green onions, and mushrooms."
떡,고물,Powder Coating for Rice Cake ,"Rice cakes are cooked then rolled or coated in a powder to add flavor and color and to prevent them from sticking together. The most popular are ground or whole red beans, beans of other colors, steamed and crushed chestnuts, or pan-fried bean flour."
채소류,고사리,Fiddlehead(s) ,"Young fern shoots are picked, blanched, drained, and then dried in the open air. The dried fiddleheads are used in soups or soaked in water and then pan­fried to make a side dish (fiddlehead namul)."
나물,고사리나물,Fiddlehead Namul,"Side dish of fiddleheads that have been dried, soaked in water, then lightly pan-fried and seasoned."
채소류,고추,Chili Pepper(s) ,The Korean red pepper or chili is usually less spicy than its Latin American cousin. Korean food uses both young green peppers as well as the ripe red ones. The red peppers are dried and ground into chili powder which can be stored for long periods and is one of the most common seasonings in Korean cuisine. The leaves are also cooked to make a vegetable side dish. Young green peppers are eaten fresh as a side dish.
볶음,고추볶음,Sauteed Green Chili Peppers ,Side dish made of young green chili peppers sliced lengthwise and stir-fried with other green vegetables such as bell pepper and celery.
양념,고추장,Red Chili Pepper Paste ,"One of the main components of Korean cuisine. This spicy red paste is made of red chili pepper powder, fermented soybeans, white rice flour and salt. It can be used as a cooking ingredient or put on the table as a separate dipping or mixing sauce."
장아찌,고추장아찌,Pickled Green Chili Peppers ,"Young green chili peppers are pickled in salt and water for a week, then mixed with a salty, spicy sauce."
"전,적",고추전,Pan-fried Stuffed Green Chili Peppers ,"Green chili peppers cut lengthwise and stuffed with ground beef. The stuffed peppers are then coated in flour, dipped in egg, and pan-fried."
조림,고추조림,Braised Green Chili Peppers ,"Side dish made of young green chili peppers braised in soy sauce with beef, clams, dried squid, or dried anchovies until reduced."
찜,고추찜,Steamed Green Chili Peppers ,"Green chili peppers coated in flour, steamed, and seasoned with soy sauce and spices."
양념,고춧가루,Red Chili Pepper Powder ,A powder made of ground Korean red chili pepper. This is a major ingredient used to spice many dishes in Korean cuisine.
나물,고춧잎나물,Chili Pepper Leaf Namul ,Side dish made of chili pepper leaves that are blanched and seasoned.
생채,골뱅이무침,Spicy Freshwater Snails ,Cooked freshwater snail tossed with chopped fresh vegetables and a spicy sauce.
면,곰국수,Noodles in Thick Beef Soup ,Noodles in a meat broth that has been simmered for a long time. Served in a large bowl.
"국,탕",곰탕,Thick Beef Soup ,Soup made from a stock of beef bones simmered for eight to twelve hours. The broth has a milky appearance and the meat is very tender. Gomtang is not seasoned during the cooking process and is served with salt and chopped green onions on the side so it can be seasoned to taste at the table. This soup is generally served with kkakdugi (a kimchi made of radishes).
육류,곱창,Beef Tripe ,
구이,곱창구이,Grilled Beef Tripe ,Beef tripe seasoned with spices or salt and grilled.
전골,곱창전골,Spicy Beef Tripe Hot Pot ,"A spicy, flavorful hot pot of vegetables and seasoned beef tripe cooked in a beef broth."
과일류,곶감,Dried Persimmon ,"Persimmons that are peeled and fully dried in the open air. This very sweet, flavorful dried fruit is eaten on its own as a dessert or a snack and is also used in rice cakes or dessert drinks like persimmon punch."
한과,과편,Traditional Candied Fruit ,"Candied fruit that has been cooked in boiling water and strained, then left to harden in attractive shapes."
회,광어회,Raw Halibut ,"Fresh halibut (preferably alive just before preparation) that is filleted, sliced thinly, and served raw."
음청류,구기자차,Gugija Tea ,Tea made from the dried fruit of the Chinese matrimony vine. Usually served as a medicinal tea.
나물,구절판,Platter of Nine Delicacies,"One of the most popular appetizers in Korean cuisine, this dish is served in a special platter that is divided into nine sections. The middle section holds small crepes made of flour and water, and in each of the eight surrounding sections is a different finely chopped ingredient, such as vegetables, beef, and abalone, resulting in a colorful and beautiful presentation. Once served, people place small amounts of each type of ingredient onto a crepe, roll it up, then dip it in a mix of soy sauce and vinegar before eating."
"국,탕",국,Soup ,"Soup, along with rice, is one of two essential elements of a Korean meal and is considered a main dish. Soups are made of vegetables, seafood, or meat and are seasoned with either salt, soy sauce or soybean paste (doenjang)."
밥,국밥,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.
면,국수,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce."
면,국수장국,Noodles in Clear Broth,"Soup made of noodles cooked in boiling water, drained, and served in a hot broth with various toppings. "
전골,국수전골,Noodle Hot Pot,Hot pot of meat and vegetables in broth. The noodles are added when rest of the ingredients are nearly cooked.
청주,국화주,Chrysanthemum Rice Wine ,Rice wine flavored by adding dried chrysanthemum petals to the wine during maturation.
패류,굴,Oyster ,
밥,굴밥,Oyster Rice ,Rice cooked with fresh oysters. The rice is washed and cooked with the oysters in a clear seaweed or chicken broth.
어류,굴비,Dried Yellow Croaker ,"Yellow croaker, salted and dried."
"전,적",굴전,Pan-fried Oyster ,"Fresh oysters coated in flour, dipped in egg, and pan-fried. Also called seokhwajeon."
젓갈,굴젓,Spicy Pickled Oyster ,Oysters pickled in salt with red chili pepper powder.
"국,탕",굴탕,Oyster Soup ,"Soup made with fresh oysters, white radish, dubu (soybean curd / tofu) and green onions. The soup is seasoned with pickled shrimp sauce."
마른찬,굴튀김,Deep-fried Oyster ,Fresh oysters dipped in a flour batter and deep-fried.
과일류,귤,Mandarin Orange ,
해조류,김,Dried Laver ,"This seaweed has sheet-like fronds and grows along the western and southern coasts of Korea. It is dried in sheets, then lightly oiled, salted, and roasted. Gim is usually eaten wrapped around a spoonful of rice."
구이,김구이,Toasted Laver ,"Dried laver sheets lightly coated with sesame oil, sprinkled with salt, then toasted on a hot pan or over a low flame."
생채,김무침,Seasoned Laver ,"Dried laver toasted, broken into small pieces, then seasoned."
밥,김밥,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices."
마른찬,김부각,Deep-fried Laver,"Dried laver coated in a batter of glutinous rice starch, dried, and deep-fried."
김치,김치,Kimchi ,"Kimchi is Korea's definitive dish. Basic kimchi is made by soaking Chinese cabbage and white radish in salt water, then mixing it with red chili pepper powder, green onions, garlic, ginger and fish sauce. The kimchi acquires its strong flavor during the fermentation process. There are hundreds of types of kimchi, depending on the main vegetable ingredient, the type of fish sauce or other spices, and preparation method."
면,김치냉면,Chilled Noodle Soup with Kimchi,"Buckwheat noodles served in a chilled broth, topped with kimchi."
"전,적",김치누름적,Pan-fried Kimchi Brochette,"Brochettes of cabbage kimchi, beef strips, and green onions sliced into similar lengths, dipped in flour and egg, and pan-fried."
만두,김치만두,Kimchi Dumplings,Dumplings made with a filling that includes kimchi.
면,김치말이,Rice or Noodles in Chilled Kimchi Water,Rice or noodles served in chilled kimchi water (the seasoned watery sauce from kimchi). This is a specialty of the Pyeongan-do region in North Korea.
밥,김치밥,Rice Cooked with Kimchi,Rice cooked with thin slices of kimchi and sometimes meat and soybean sprouts.
볶음,김치볶음,Sauteed Kimchi,Thinly sliced kimchi sauteed in oil. Chopped pork is often added and sauteed together with the kimchi.
밥,김치볶음밥,Fried Rice with Kimchi,Rice fried with chopped kimchi. Chopped beef and other ingredients can also be added.
"전,적",김치전,Kimchi Pancake,Fried pancakes made with finely chopped kimchi in a flour and egg batter.
찌개,김치찌개,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.
"국,탕",김칫국,Kimchi Soup,A soup of chopped kimchi that is not as thick as kimchi stew and usually has fewer ingredients.
김치,깍두기,Diced Radish Kimchi,"Kimchi made of diced white radish. The radish pieces are first salted and then mixed with the traditional kimchi sauce of red chili pepper powder, fish sauce, garlic, and green onions. "
곡류,깨,Sesame (Seeds) (1),"Sesame seeds include basic sesame seeds and perilla, or wild sesame seeds. ln both cases, the seeds are fried before the oil is extracted, which is used to provide flavor in Korean cuisine."
한과,깨강정,Sesame Toffee,A toffee made of roasted sesame seeds mixed in a malt toffee. The toffee hardens slightly as it cools and then it is cut into squares or rolled and sliced into flat round pieces.
면,깨국수,Noodles in Sesame Soup,"Noodles in a sesame soup with beef meatballs, minari (Korean parsley), stir­fried shiitake mushrooms, and julienned cucumbers"
양념,깨소금,Sesame Salt,"Sesame seeds roasted in a pan and ground with salt. One of the main seasonings in Korean cooking, this gives food a slightly buttery flavor."
죽,깨죽,Sesame Porridge,"A porridge made of sesame seeds that are fried and ground, then mixed with rice flour and simmered until thick."
"국,탕",깻국,Sesame Soup,Soup of roasted and ground sesame seeds cooked in a chicken broth.
채소류,깻잎,Wild Sesame Leaves,
나물,깻잎나물,Wild Sesame Leaf Namul,A side dish made of wild sesame leaves that are blanched and seasoned.
마른찬,깻잎부각,Deep-fried Wild Sesame Leaves,Wild sesame leaves coated on one side with a batter of glutinous rice starch and deep-fried .The leaves are sometimes sprinkled with sugar.
장아찌,깻잎장아찌,Pickled Wild Sesame Leaves,A pickled side dish made of wild sesame leaves marinated in soy sauce. Other versions include sesame leaves pickled in soybean paste or fish sauce.
"전,적",깻잎전,Pan-fried Wild Sesame Leaves with Fillings,"Wild sesame leaves folded in half with a filling of seasoned minced beef. The stuffed leaves are coated in flour, dipped in egg, and pan-fried."
"국,탕",꼬리곰탕,Oxtail Soup,A soup made by simmering oxtail in water for three to four hours.
회,꼬막무침,Seasoned Ark Shells,Cooked ark shells seasoned with soy sauce and served on the half-shell. 
구이,꼬치구이,Meat and Vegetable Brochette,"Brochettes of meat and vegetables, seasoned and grilled."
젓갈,꼴뚜기젓,Pickled Small Octopus,A variety of small octopus that has been cleaned and pickled in salt.
어류,꽁치,Mackerel Pike,
구이,꽁치구이,Grilled Mackerel Pike,Mackerel pike (similar to mackerel but smaller and thinner) salted or spread with soybean paste (doenjang) and grilled.
조림,꽁치조림,Braised Mackerel Pike,"Mackerel pike seasoned with green onions, garlic and a mixture of other ingredients (such as red chili pepper paste or soy sauce) and simmered over low heat."
갑각류,꽃게,Blue Crab,
찜,꽃게찜,Steamed Blue Crab Meat,"Crab meat mixed with seasonings in a fluffy egg batter, then placed back in the shell, steamed, and garnished."
"국,탕",꽃게탕,Blue Crab Soup,"A soup of blue crab cooked with zucchini, green chili peppers and soybean paste (doenjang)."
고명,꾸미,Meat Garnish,Minced cooked meat used to garnish soups and stews.
육류,꿩,Pheasant,
구이,꿩구이,Grilled Pheasant,"Thinly sliced pheasant thigh meat seasoned with soy sauce, sesame seeds, black pepper, green onions, ginger and garlic, and then grilled."
김치,꿩김치,Pheasant Kimchi,A special kimchi of cooked pheasant meat mixed with whole white radish marinated in salt water. Some versions use pickled cucumbers instead of white radish.
만두,꿩만두,Pheasant Dumplings,"A dumpling stuffed with pheasant and vegetables, cooked in a clear broth, and served as a winter delicacy."
면,꿩칼국수,Home-style Noodles in Pheasant Soup,"Home-style noodles made of flour, bean powder and egg, cooked in a pheasant broth."
나물,나물,Vegetable Side Dishes,"Side dishes of vegetables or wild leafy greens. There are two main methods of preparation :stir-frying the vegetables with spices, and blanching the vegetables and then seasoning them. The most common seasonings are soy sauce, garlic, sesame seeds, sesame oil, and chopped green onions."
김치,나박김치,Radish Water Kimchi,"A slightly pink kimchi made with Chinese cabbage, thinly sliced white radish, a large amount of water, and minari (a leafy vegetable resembling parsley) to give this kimchi a distinctive a flavor."
연체류,낙지,Baby Octopus,
볶음,낙지볶음,Stir-fried Baby Octopus,"Baby octopus mixed in a seasoning of red chili pepper paste and soy sauce, then stir-fried with onions, chili peppers and green onions."
전골,낙지전골,Baby Octopus Hot Pot,"Seasoned baby octopus cooked in a hot pot with green onions, crown daisy, and other vegetables."
회,낙지회,Raw Baby Octopus,Live or poached baby octopus served with a dipping sauce of red chili pepper paste with vinegar and sugar.
"국,탕",내장탕,Beef Tripe and Intestine Soup,"Soup of beef, tripe and intestines cooked over a long period."
"국,탕",냉국,Chilled  Soup,"Chilled soups made with eggplant, cucumber, or seaweed. Served in the summer with rice."
면,냉국수,Chilled Noodle Soup,A soup of noodles in chilled yeolmu-kimchi (a water kimchi made of radishes and their leaves) and topped with julienned egg garnish and slices of beef.
면,냉면,Chilled Buckwheat Noodle Soup,"Buckwheat noodles served in a chilled beef broth with slices of beef, radish kimchi, sliced Korean pear, a boiled egg, and seasoned cucumber on top. Vinegar and mustard are added to according to individual taste. This is a favorite summer dish."
채소류,냉이,Naengi,"Shepherd's purse, a white-flowered plant in the cabbage family, which grows in fields and is picked and eaten in spring."
나물,냉이나물,Naengi Namul,A vegetable side dish made of naengi (shepherd's purse) parboiled and mixed with a seasoned soy sauce.
"국,탕",냉잇국,Naengi Soup,"A soup of naengi (shepherd's purse) in a soybean paste (doenjang) broth, usually with clams."
구이,너비아니,Grilled Sliced Beef,"Thinly sliced beef marinated in a bulgogi sauce (soy sauce, sugar, garlic, green onions, and sesame oil), and then grilled."
생채,노각생채,Seasoned Overripe Cucumbers,"Overripe cucumbers that have turned yellowish are peeled and soaked in salt water. The salted cucumbers are squeezed to eliminate excess water, then chopped and spiced with red chili pepper paste, vinegar, green onions, garlic, black pepper, and sugar."
곡류,녹두,Mung Bean,"Mung beans are ground to make mung bean jelly, mung bean and vegetable pancakes, rice cake coating, and mung bean porridge, similar to a Chinese congee. Mung bean sprouts are also eaten as a vegetable side dish."
묵,녹두묵,Mung Bean Jelly,A firm jelly made with mung bean starch. Also called cheongpomuk.
"전,적",녹두빈대떡,Mung Bean Pancake,"A fried pancake made of mung bean flour and a little glutinous rice flour cooked with pork, sliced kimchi, green bean sprouts, green onions and garlic."
죽,녹두죽,Mung Bean Porridge,"A porridge of mung beans and rice, similar to Chinese congee."
음청류,녹차,Green Tea,"A tea made from tea leaves picked when tender and green, then dried carefully to preserve the green color."
밥,녹차밥,Green Tea Rice,Rice cooked in green tea instead of plain water.
어류,농어,Sea Bass,"Sea bass is finely sliced and eaten raw, grilled, braised, or cooked in soups."
기타,누룽지,Browned Rice,"Crusty, browned rice made from the scorched part of steamed rice that is usually stuck to the bottom of the rice pot. lt is eaten in hot water as a browned rice tea after a meal or fried as a crispy snack. Also called nurunbap."
"전,적",누름적,Pan-fried Green Onion and Fiddlehead,"Thin green onions and fiddleheads cut into similar lengths, then mixed in a flour and egg batter and pan-fried."
"국,탕",다슬깃국,Small Freshwater Snail Soup,"A soup made of soybean paste (doenjang) broth, red chili pepper paste, vegetables, and small freshwater snails. Also called olgaengitguk."
해조류,다시마,Kelp,"Boiled and served cold with red chili pepper paste to make a vegetable for ssam, cooked to make a soup broth, or deep-fried as a side dish or snack."
쌈,다시마쌈,Kelp Wraps,"Slices of fresh kelp used as a wrap for rice and other foods, dipped in pickled anchovy sauce before eating."
"전,적",대하전,Pan-fried King Prawn,"Peeled king prawns coated in flour, dipped in egg, and pan-fried."
찜,대하찜,Steamed Stuffed King Prawns,"King prawns stuffed with seasoned minced beef, steamed, and topped with mushrooms, julienned egg garnish, and red chili pepper threads."
패류,대합,Clam(l),
구이,대합구이,Grilled Clams,"Big clams grilled in the shell. The clams can also be chopped and mixed with minced beef, dubu (soybean curd / tofu) and seasonings, put back in the shell and then grilled."
"국,탕",대합국,Clam Soup(1),"A clear soup with clams. Sometimes the clams are taken from their shells, mixed with beef and seasonings, and put back in their shells before being cooked and put in the soup."
전골,대합전골,Clam Hot Pot,"A hot pot of clams, beef, and vegetables in broth."
죽,대합죽,Clam and Rice Porridge,A porridge made of rice and clams.
찜,대합찜,Steamed Stuffed Clams,"Clam shells stuffed with chopped clams, minced beef, shiitake mushrooms, and egg, and then steamed."
채소류,더덕,Deodeok,"A perennial vine, the deodeok(bonnet bellflower) root has a distinctive smell. It is grilled or steamed as a side dish and is also used as medicine."
구이,더덕구이,Grilled Deodeok,Deodoek root marinated in soy sauce and red chili pepper paste and then grilled.
김치,더덕김치,Deodeok Kimchi,"A kimchi made of deodeok root, white radish and Chinese cabbage."
생채,더덕무침,Spicy Deodeok,Deodeok root shredded into small pieces by hand and seasoned with a red chili pepper paste sauce.
생채,더덕생채,Deodeok Salad,Deodeok root mixed with red chili pepper powder and other seasonings.
장아찌,더덕장아찌,Deodeok Pickles,A side dish of deodeok roots pickled in red chili pepper paste.
"국,탕",도가니탕,Ox Knee Soup,A soup made of beef and ox knee simmered for a long time. It is served with salt and chopped green onions on the side so it can be seasoned to taste at the table.
채소류,도라지,Bellflower Roots,The roots of the Bellflower are either grilled or seasoned and served raw.
나물,도라지나물,Bellflower Root Namul,"A side dish of bellflower roots cooked in water, drained, then sauteed with chopped green onions, garlic, and sesame salt."
생채,도라지생채,Bellflower Root Salad,"Fresh bellflower roots shredded into small pieces, then seasoned with red chili pepper powder, vinegar, salt, and sugar."
한과,도라지정과,Candied Bellflower Roots,"Whole bellflower roots (doraji) peeled and simmered in a mixture of water, honey, and sugar until candied."
어류,도미,Sea Bream,
구이,도미구이,Grilled Sea Bream,Sea bream seasoned with salt then grilled slowly over a low flame and basted frequently with sesame oil.
조림,도미조림,Braised Sea Bream,Sea bream seasoned in a spicy soy sauce and braised.
죽,도미죽,Sea Bream and Rice Porridge,A rice porridge with sea bream. The fish is cooled first and then deboned. The rice and fish meat is put into the fish broth and simmered until thick.
찜,도미찜,Stuffed and Steamed Sea Bream,"Whole sea bream stuffed with clams, dubu (soybean curd / tofu), and vegetables and then steamed. The steamed fish is garnished with colorful vegetables and sliced chestnuts."
회,도미회,Raw Sea Bream,Fresh sea bream thinly sliced and served raw.
견과류,도토리,Acorn,
면,도토리냉면,Chilled Acorn Noodle Soup,Noodles made of acorn starch served in a chilled broth and garnished with seasoned vegetables.
떡,도토리떡,Acorn Cake,"A steamed cake made of acorn starch, millet flour, and a coating of ground beans and red beans."
묵,도토리묵,Acorn Starch jelly,"A firm jelly made of acorn starch, often served with a seasoned soy sauce."
생채,돌나물,Dollamul,"Sedum, a fleshy-leafed perennial that is found in the mountains. The tender young plants are often added to kimchi made in the spring or are made into a spring salad as a side dish."
밥,돌솥밥,Stone Pot Rice,"Rice cooked in a stone pot with chestnuts, mushrooms, and jujubes (Korean dates)."
밥,돌솥비빔밥,Stone Pot Bibimbap,"Rice cooked in a hot stone pot and topped with vegetables, seasoned and cooked ground beef, a fried egg and other ingredients. Before eating, red pepper paste or soy sauce and sesame oil are added to taste and everything is stirred with the rice."
청주,동동주,Thick Rice Beer,"A beer made by fermenting rice with yeast. In Korean, the term dongdongju suggests something floating, referring to the rice grains that are often floating on top."
김치,동치미,Radish Kimchi in Water,"A kimchi made of whole white radishes, green onions, garlic, ginger and salt water. The radishes are rolled in salt and put in a big jar with the other ingredients and salt water. After being cured, this kimchi has plenty of flavorful water which is chilled and served throughout the winter."
면,동치미냉면,Buckwheat Noodles in Radish Kimchi Water,"Buckwheat noodles served in chilled dongchimi water (a non-spicy kimchi made with white radish and lots of water) topped with sliced kimchi, a boiled egg and some meat."
어류,동태,Frozen Pollack,Frozen pollack does not have a strong smell and is therefore used in a lot of dishes.
"국,탕",동태매운탕,Spicy Frozen Pollack Stew,"A spicy stew of pollack with white radish, dubu (soybean curd / tofu), chili peppers, and other spices."
김치,동태섞박지,Kimchi with Frozen Pollack ,"A special mixed kimchi made of Chinese cabbage, white radish, and dried pollack pieces. Often made with dried pollack soaked in water."
찌개,동태찌개,Frozen Pollack Stew,"A spicy stew made of pollack and vegetables. The pollack is first cooked in a clear broth, then white radish, red chili pepper powder or red chili pepper paste, garlic and green onions are added and cooked until thick."
"전,적",돼지갈비강정,Glazed Spareribs,"Pork ribs first coated in a flour batter and deep-fried, then glazed in a sweet and spicy soy sauce mixture."
구이,돼지갈비구이,Grilled Spareribs,Pork spareribs marinated in a soy sauce or red chili pepper paste mixture and grilled.
찜,돼지갈비찜,Braised Spareribs,"Pork spareribs seasoned and braised in a little broth with chili peppers, chestnuts, carrots and jujubes (Korean dates)."
육류,돼지고기,Pork,"The main pork cuts used in Korean cuisine are the shoulder, sirloin, sides, ribs, hocks, and the rump. The different parts are prepared in different ways to take advantage of their distinct flavors and textures. Pig's head is boiled and pressed or made into a soup. Shoulder, sirloin, and rump cuts are grilled or braised. Rib cuts are braised or pressed. Hocks are pressed or used in soup."
구이,돼지고기구이,Marinated Grilled Pork,Thin slices of pork marinated in soy sauce and red chili pepper paste and grilled. Also called dwaeji-bulgogi.
볶음,돼지고기김치볶음,Pork and Kimchi Stir-fry,Chopped pork stir-fried with thinly sliced kimchi.
볶음,돼지고기볶음,Stir-fried Pork,A spicy stir-fry of pork with chopped vegetables. Also called jeyuk-bokkeum.
편육,돼지고기편육,Pressed Pork,"Big pieces of pork cooked in water with ginger, green onions and soybean paste (doenjang) and pressed to give a smooth texture. Often served with pickled shrimp sauce."
편육,돼지머리편육,Pressed Pork Head,"Pork head meat cooked in water with ginger, onions, garlic and black pepper, then pressed into a block and sliced. Usually served on special occasions. "
찌개,되비지찌개,Pureed Soybean Stew,"A thick white stew of soybean puree, pork, kimchi or fresh cabbage leaves. Served with seasoned soy sauce on the side."
