±¸ºĞ,À½½Ä¸í,¿µ¹®,À½½Ä¼³¸í
"±¹,ÅÁ",°¨Àã±¹,Potato Soup ,Soup made of potato and green onions in a beef broth.
±èÄ¡,°«±èÄ¡,Mustard Leaf Kimchi ,"A kimchi made of gat, a kind of mustard leaf. The stems and leaves are seasoned with pickled anchovy sauce. The strong flavor of the mustard leaf and the anchovy is what makes this kimchi popular."
¹ä,°­³ÃÀÌ¹ä,Rice with Corn ,"Rice cooked with mixed grains, corn, and kidney beans; served as an alternative to white rice."
Á×,°­³ÃÀÌ¹ü¹÷,Corn and Grain Porridge ,"Porridge made of mashed corn with cooked red beans or other types of beans, thickened with glutinous rice flour."
ÇÑ°ú,°­Á¤,Deep-fried Sweet Rice Puffs ,"Traditional treats made of sweet rice flour and liquor. They are cut into various shapes, dried in the shade, deep-fried in oil, and coated in honey and other sweet seasonings such as black bean, sesame seed, cinnamon, pine nut, and black sesame. They are usually hollow inside, and slightly sweet."
¾ç³ä,°®Àº¾ç³ä,Basic Seasonings ,"The main basic seasonings used to flavor most Korean dishes : soy sauce, green onions, garlic, black pepper, red chili pepper powder, sesame oil, and sesame seeds."
¶±,°³ÇÇ¶±,Half-moon Puffed Rice Cake,"Rice cake made with white rice flour, filled with red bean and folded into a half-moon shape. Also called baramtteok (wind rice cake) because it is puffed inside."
¸¶¸¥Âù,°Ç¾îÆ÷,Dried Fish Slices ,"Whole fish cleaned, salted, and dried in the open air."
±èÄ¡,°ÑÀıÀÌ,Fresh Kimchi ,The leaves of Chinese cabbage or other leafy vegetables dressed in soy sauce and spices and served fresh as a side dish.
°©°¢·ù,°Ô,Crab,"Koreans enjoy eating many types of crab including blue crab, tanner crab, freshwater crab, hairy crab and small crab. Crab is prepared in soups, casseroles or seasoned in soy sauce or red chili sauce."
"Àü,Àû",°Ô»ìÀü,Crab Patries ,"Patties made of cooked crab meat seasoned with soy sauce, coated with flour and egg, then pan-fried."
Á£°¥,°ÔÀå,Marinated Crab ,"Crabs are marinated in soy sauce for several days, then the soy sauce is removed, boiled, and poured back over the crabs several times. This dish may also be seasoned with spices and red chili sauce."
»ıÃ¤,°ÜÀÚÃ¤,Assorted Cold Plate with Mustard Sauce,"Salad made with various cold cuts and fresh vegetables, dressed with a spicy mustard sauce."
¾ç³ä,°ÜÀÚÃÊÀå,Mustard and Vinegar Sauce ,"Tangy sauce of mustard, vinegar and sugar. This generally accompanies cold dishes such as raw fish or naengchae, a dish consisting of thinly sliced vegetables and meat or seafood."
À½Ã»·ù,°á¸íÀÚÂ÷,Gyeolmyeongja Tea ,"A tea made with the dried seeds of the sicklepod plant, which can be served hot or cold. This tea is known for its clarifying effects on the liver and eyes."
¶±,°æ´Ü,Sweet Rice Balls ,"Rice cake made with glutinous rice flour, rolled into balls and cooked in boiling water. The cooked rice balls are then rolled in ground soybeans or red beans."
"±¹,ÅÁ",°è¶õÅÁ,Egg Soup ,Soup made by adding beaten eggs and chopped green onions to a boiling meat or vegetable broth.
À½Ã»·ù,°èÇÇÂ÷,Cinnamon Tea ,Tea made of dried whole cinnamon sticks boiled with a small amount of ginger. This tea is usually garnished with minced jujubes (Korean dates).
¼­·ù,°í±¸¸¶,Sweet Potato ,
³ª¹°,°í±¸¸¶¼ø³ª¹°,Cooked Sweet Potato Stems ,"Side dish made with the stems of the sweet potato. The stems are blanched and seasoned, then lightly fried with oil."
"Àü,Àû",°í±¸¸¶Àü,Pan-fried Sweet Potato ,"Slices of sweet potato dipped in flour and egg, then pan-fried."
¸¶¸¥Âù,°í±¸¸¶Æ¢±è,Deep-fried Sweet Potato ,Sweet potato cut into thin oval slices or strips and deep-fried.
±èÄ¡,°íµé»©±â±èÄ¡,Godeulppaegi Kimchi ,A strongly flavored kimchi made with a wild flowering plant (godeulppaegi) which has been soaked in water for up to ten days to remove its bitter taste.
±¸ÀÌ,°íµî¾î(¼Ò±İ)±¸ÀÌ,Grilled Mackerel ,Mackerel sprinkled with salt and grilled.
Á¶¸²,°íµî¾îÁ¶¸²,Braised Mackerel ,"Mackerel seasoned with soy sauce, green onions, garlic and red chili pepper powder, then braised over low heat until reduced."
°í¸í,°í¸í,Garnish ,"Popular Korean garnishes include thinly red chili pepper threads, julienned egg yolk and whites (the yolks and whites are separated, beaten, and pan-fried like crepes), minced jujubes (Korean dates), chestnuts, walnuts, ground pine nuts, cooked gingko nuts, sesame salt, minari (Korean parsley), carrots, green onions, and mushrooms."
¶±,°í¹°,Powder Coating for Rice Cake ,"Rice cakes are cooked then rolled or coated in a powder to add flavor and color and to prevent them from sticking together. The most popular are ground or whole red beans, beans of other colors, steamed and crushed chestnuts, or pan-fried bean flour."
Ã¤¼Ò·ù,°í»ç¸®,Fiddlehead(s) ,"Young fern shoots are picked, blanched, drained, and then dried in the open air. The dried fiddleheads are used in soups or soaked in water and then pan¡©fried to make a side dish (fiddlehead namul)."
³ª¹°,°í»ç¸®³ª¹°,Fiddlehead Namul,"Side dish of fiddleheads that have been dried, soaked in water, then lightly pan-fried and seasoned."
Ã¤¼Ò·ù,°íÃß,Chili Pepper(s) ,The Korean red pepper or chili is usually less spicy than its Latin American cousin. Korean food uses both young green peppers as well as the ripe red ones. The red peppers are dried and ground into chili powder which can be stored for long periods and is one of the most common seasonings in Korean cuisine. The leaves are also cooked to make a vegetable side dish. Young green peppers are eaten fresh as a side dish.
ººÀ½,°íÃßººÀ½,Sauteed Green Chili Peppers ,Side dish made of young green chili peppers sliced lengthwise and stir-fried with other green vegetables such as bell pepper and celery.
¾ç³ä,°íÃßÀå,Red Chili Pepper Paste ,"One of the main components of Korean cuisine. This spicy red paste is made of red chili pepper powder, fermented soybeans, white rice flour and salt. It can be used as a cooking ingredient or put on the table as a separate dipping or mixing sauce."
Àå¾ÆÂî,°íÃßÀå¾ÆÂî,Pickled Green Chili Peppers ,"Young green chili peppers are pickled in salt and water for a week, then mixed with a salty, spicy sauce."
"Àü,Àû",°íÃßÀü,Pan-fried Stuffed Green Chili Peppers ,"Green chili peppers cut lengthwise and stuffed with ground beef. The stuffed peppers are then coated in flour, dipped in egg, and pan-fried."
Á¶¸²,°íÃßÁ¶¸²,Braised Green Chili Peppers ,"Side dish made of young green chili peppers braised in soy sauce with beef, clams, dried squid, or dried anchovies until reduced."
Âò,°íÃßÂò,Steamed Green Chili Peppers ,"Green chili peppers coated in flour, steamed, and seasoned with soy sauce and spices."
¾ç³ä,°íÃå°¡·ç,Red Chili Pepper Powder ,A powder made of ground Korean red chili pepper. This is a major ingredient used to spice many dishes in Korean cuisine.
³ª¹°,°íÃåÀÙ³ª¹°,Chili Pepper Leaf Namul ,Side dish made of chili pepper leaves that are blanched and seasoned.
»ıÃ¤,°ñ¹ğÀÌ¹«Ä§,Spicy Freshwater Snails ,Cooked freshwater snail tossed with chopped fresh vegetables and a spicy sauce.
¸é,°õ±¹¼ö,Noodles in Thick Beef Soup ,Noodles in a meat broth that has been simmered for a long time. Served in a large bowl.
"±¹,ÅÁ",°õÅÁ / °õ±¹,Thick Beef Soup ,Soup made from a stock of beef bones simmered for eight to twelve hours. The broth has a milky appearance and the meat is very tender. Gomtang is not seasoned during the cooking process and is served with salt and chopped green onions on the side so it can be seasoned to taste at the table. This soup is generally served with kkakdugi (a kimchi made of radishes).
À°·ù,°öÃ¢,Beef Tripe ,
±¸ÀÌ,°öÃ¢±¸ÀÌ,Grilled Beef Tripe ,Beef tripe seasoned with spices or salt and grilled.
Àü°ñ,°öÃ¢Àü°ñ,Spicy Beef Tripe Hot Pot ,"A spicy, flavorful hot pot of vegetables and seasoned beef tripe cooked in a beef broth."
°úÀÏ·ù,°ù°¨,Dried Persimmon ,"Persimmons that are peeled and fully dried in the open air. This very sweet, flavorful dried fruit is eaten on its own as a dessert or a snack and is also used in rice cakes or dessert drinks like persimmon punch."
ÇÑ°ú,°úÆí,Traditional Candied Fruit ,"Candied fruit that has been cooked in boiling water and strained, then left to harden in attractive shapes."
È¸,±¤¾îÈ¸,Raw Halibut ,"Fresh halibut (preferably alive just before preparation) that is filleted, sliced thinly, and served raw."
À½Ã»·ù,±¸±âÀÚÂ÷,Gugija Tea ,Tea made from the dried fruit of the Chinese matrimony vine. Usually served as a medicinal tea.
³ª¹°,±¸ÀıÆÇ,Platter of Nine Delicacies,"One of the most popular appetizers in Korean cuisine, this dish is served in a special platter that is divided into nine sections. The middle section holds small crepes made of flour and water, and in each of the eight surrounding sections is a different finely chopped ingredient, such as vegetables, beef, and abalone, resulting in a colorful and beautiful presentation. Once served, people place small amounts of each type of ingredient onto a crepe, roll it up, then dip it in a mix of soy sauce and vinegar before eating."
"±¹,ÅÁ",±¹,Soup ,"Soup, along with rice, is one of two essential elements of a Korean meal and is considered a main dish. Soups are made of vegetables, seafood, or meat and are seasoned with either salt, soy sauce or soybean paste (doenjang)."
¹ä,±¹¹ä,Soup with Rice ,This main dish is a combination of the traditionally separate bowls of rice and soup with the steamed rice served in the bowl of soup.
¸é,±¹¼ö,Noodle(s) ,"Made from a multigrain flour, these thin noodles are cooked in boiling water, drained, and eaten in a broth or spicy sauce."
¸é,±¹¼öÀå±¹,Noodles in Clear Broth,"Soup made of noodles cooked in boiling water, drained, and served in a hot broth with various toppings. "
Àü°ñ,±¹¼öÀü°ñ,Noodle Hot Pot,Hot pot of meat and vegetables in broth. The noodles are added when rest of the ingredients are nearly cooked.
Ã»ÁÖ,±¹È­ÁÖ,Chrysanthemum Rice Wine ,Rice wine flavored by adding dried chrysanthemum petals to the wine during maturation.
ÆĞ·ù,±¼,Oyster ,
¹ä,(»ı)±¼¹ä,Oyster Rice ,Rice cooked with fresh oysters. The rice is washed and cooked with the oysters in a clear seaweed or chicken broth.
¾î·ù,±¼ºñ,Dried Yellow Croaker ,"Yellow croaker, salted and dried."
"Àü,Àû",±¼Àü,Pan-fried Oyster ,"Fresh oysters coated in flour, dipped in egg, and pan-fried. Also called seokhwajeon."
Á£°¥,±¼Á£,Spicy Pickled Oyster ,Oysters pickled in salt with red chili pepper powder.
"±¹,ÅÁ",±¼ÅÁ / ±¼±¹,Oyster Soup ,"Soup made with fresh oysters, white radish, dubu (soybean curd / tofu) and green onions. The soup is seasoned with pickled shrimp sauce."
¸¶¸¥Âù,±¼Æ¢±è,Deep-fried Oyster ,Fresh oysters dipped in a flour batter and deep-fried.
°úÀÏ·ù,±Ö,Mandarin Orange ,
ÇØÁ¶·ù,±è,Dried Laver ,"This seaweed has sheet-like fronds and grows along the western and southern coasts of Korea. It is dried in sheets, then lightly oiled, salted, and roasted. Gim is usually eaten wrapped around a spoonful of rice."
±¸ÀÌ,±è±¸ÀÌ,Toasted Laver ,"Dried laver sheets lightly coated with sesame oil, sprinkled with salt, then toasted on a hot pan or over a low flame."
»ıÃ¤,±è¹«Ä§,Seasoned Laver ,"Dried laver toasted, broken into small pieces, then seasoned."
¹ä,±è¹ä,Rice Rolls in Laver ,"To make this colorful roll, rice is spread on a dried laver sheet with beef, fried egg, pickled radish, and various steamed vegetables, then rolled and cut into slices."
¸¶¸¥Âù,±èºÎ°¢,Deep-fried Laver,"Dried laver coated in a batter of glutinous rice starch, dried, and deep-fried."
±èÄ¡,±èÄ¡,Kimchi ,"Kimchi is Korea's definitive dish. Basic kimchi is made by soaking Chinese cabbage and white radish in salt water, then mixing it with red chili pepper powder, green onions, garlic, ginger and fish sauce. The kimchi acquires its strong flavor during the fermentation process. There are hundreds of types of kimchi, depending on the main vegetable ingredient, the type of fish sauce or other spices, and preparation method."
¸é,±èÄ¡³Ã¸é,Chilled Noodle Soup with Kimchi,"Buckwheat noodles served in a chilled broth, topped with kimchi."
"Àü,Àû",±èÄ¡´©¸§Àû,Pan-fried Kimchi Brochette,"Brochettes of cabbage kimchi, beef strips, and green onions sliced into similar lengths, dipped in flour and egg, and pan-fried."
¸¸µÎ,±èÄ¡¸¸µÎ,Kimchi Dumplings,Dumplings made with a filling that includes kimchi.
¸é,±èÄ¡¸»ÀÌ,Rice or Noodles in Chilled Kimchi Water,Rice or noodles served in chilled kimchi water (the seasoned watery sauce from kimchi). This is a specialty of the Pyeongan-do region in North Korea.
¹ä,±èÄ¡¹ä,Rice Cooked with Kimchi,Rice cooked with thin slices of kimchi and sometimes meat and soybean sprouts.
ººÀ½,±èÄ¡ººÀ½,Sauteed Kimchi,Thinly sliced kimchi sauteed in oil. Chopped pork is often added and sauteed together with the kimchi.
¹ä,±èÄ¡ººÀ½¹ä,Fried Rice with Kimchi,Rice fried with chopped kimchi. Chopped beef and other ingredients can also be added.
"Àü,Àû",±èÄ¡Àü,Kimchi Pancake,Fried pancakes made with finely chopped kimchi in a flour and egg batter.
Âî°³,±èÄ¡Âî°³,Kimchi Stew,A thick stew made from kimchi simmered with various kinds of meat.
"±¹,ÅÁ",±èÄ©±¹,Kimchi Soup,A soup of chopped kimchi that is not as thick as kimchi stew and usually has fewer ingredients.
±èÄ¡,±ïµÎ±â,Diced Radish Kimchi,"Kimchi made of diced white radish. The radish pieces are first salted and then mixed with the traditional kimchi sauce of red chili pepper powder, fish sauce, garlic, and green onions. "
°î·ù,±ú,Sesame (Seeds) (1),"Sesame seeds include basic sesame seeds and perilla, or wild sesame seeds. ln both cases, the seeds are fried before the oil is extracted, which is used to provide flavor in Korean cuisine."
ÇÑ°ú,±ú(¿³)°­Á¤,Sesame Toffee,A toffee made of roasted sesame seeds mixed in a malt toffee. The toffee hardens slightly as it cools and then it is cut into squares or rolled and sliced into flat round pieces.
¸é,±ú±¹¼ö / ²¢±¹±¹¼ö,Noodles in Sesame Soup,"Noodles in a sesame soup with beef meatballs, minari (Korean parsley), stir¡©fried shiitake mushrooms, and julienned cucumbers"
¾ç³ä,±ú¼Ò±İ,Sesame Salt,"Sesame seeds roasted in a pan and ground with salt. One of the main seasonings in Korean cooking, this gives food a slightly buttery flavor."
Á×,±úÁ×,Sesame Porridge,"A porridge made of sesame seeds that are fried and ground, then mixed with rice flour and simmered until thick."
"±¹,ÅÁ",²¢±¹,Sesame Soup,Soup of roasted and ground sesame seeds cooked in a chicken broth.
Ã¤¼Ò·ù,²¢ÀÙ,Wild Sesame Leaves,
³ª¹°,²¢ÀÙ³ª¹°,Wild Sesame Leaf Namul,A side dish made of wild sesame leaves that are blanched and seasoned.
¸¶¸¥Âù,²¢ÀÙºÎ°¢,Deep-fried Wild Sesame Leaves,Wild sesame leaves coated on one side with a batter of glutinous rice starch and deep-fried .The leaves are sometimes sprinkled with sugar.
Àå¾ÆÂî,²¢ÀÙÀå¾ÆÂî,Pickled Wild Sesame Leaves,A pickled side dish made of wild sesame leaves marinated in soy sauce. Other versions include sesame leaves pickled in soybean paste or fish sauce.
"Àü,Àû",²¢ÀÙÀü,Pan-fried Wild Sesame Leaves with Fillings,"Wild sesame leaves folded in half with a filling of seasoned minced beef. The stuffed leaves are coated in flour, dipped in egg, and pan-fried."
"±¹,ÅÁ",²¿¸®°õÅÁ,Oxtail Soup,A soup made by simmering oxtail in water for three to four hours.
È¸,²¿¸·¹«Ä§,Seasoned Ark Shells,Cooked ark shells seasoned with soy sauce and served on the half-shell. 
±¸ÀÌ,²¿Ä¡±¸ÀÌ,Meat and Vegetable Brochette,"Brochettes of meat and vegetables, seasoned and grilled."
Á£°¥,²Ã¶Ñ±âÁ£,Pickled Small Octopus,A variety of small octopus that has been cleaned and pickled in salt.
¾î·ù,²ÇÄ¡,Mackerel Pike,
±¸ÀÌ,²ÇÄ¡±¸ÀÌ,Grilled Mackerel Pike,Mackerel pike (similar to mackerel but smaller and thinner) salted or spread with soybean paste (doenjang) and grilled.
Á¶¸²,²ÇÄ¡Á¶¸²,Braised Mackerel Pike,"Mackerel pike seasoned with green onions, garlic and a mixture of other ingredients (such as red chili pepper paste or soy sauce) and simmered over low heat."
°©°¢·ù,²É°Ô,Blue Crab,
Âò,²É°ÔÂò,Steamed Blue Crab Meat,"Crab meat mixed with seasonings in a fluffy egg batter, then placed back in the shell, steamed, and garnished."
"±¹,ÅÁ",²É°ÔÅÁ,Blue Crab Soup,"A soup of blue crab cooked with zucchini, green chili peppers and soybean paste (doenjang)."
°í¸í,²Ù¹Ì,Meat Garnish,Minced cooked meat used to garnish soups and stews.
À°·ù,²æ(°í±â),Pheasant,
±¸ÀÌ,²æ(°í±â)±¸ÀÌ,Grilled Pheasant,"Thinly sliced pheasant thigh meat seasoned with soy sauce, sesame seeds, black pepper, green onions, ginger and garlic, and then grilled."
±èÄ¡,²æ±èÄ¡ / »ıÄ¡±èÄ¡,Pheasant Kimchi,A special kimchi of cooked pheasant meat mixed with whole white radish marinated in salt water. Some versions use pickled cucumbers instead of white radish.
¸¸µÎ,²æ¸¸µÎ,Pheasant Dumplings,"A dumpling stuffed with pheasant and vegetables, cooked in a clear broth, and served as a winter delicacy."
¸é,²æÄ®±¹¼ö,Home-style Noodles in Pheasant Soup,"Home-style noodles made of flour, bean powder and egg, cooked in a pheasant broth."
³ª¹°,³ª¹°,Vegetable Side Dishes,"Side dishes of vegetables or wild leafy greens. There are two main methods of preparation :stir-frying the vegetables with spices, and blanching the vegetables and then seasoning them. The most common seasonings are soy sauce, garlic, sesame seeds, sesame oil, and chopped green onions."
±èÄ¡,³ª¹Ú±èÄ¡,Radish Water Kimchi,"A slightly pink kimchi made with Chinese cabbage, thinly sliced white radish, a large amount of water, and minari (a leafy vegetable resembling parsley) to give this kimchi a distinctive a flavor."
¿¬Ã¼·ù,³«Áö,Baby Octopus,
ººÀ½,³«ÁöººÀ½,Stir-fried Baby Octopus,"Baby octopus mixed in a seasoning of red chili pepper paste and soy sauce, then stir-fried with onions, chili peppers and green onions."
Àü°ñ,³«ÁöÀü°ñ,Baby Octopus Hot Pot,"Seasoned baby octopus cooked in a hot pot with green onions, crown daisy, and other vegetables."
È¸,³«ÁöÈ¸,Raw Baby Octopus,Live or poached baby octopus served with a dipping sauce of red chili pepper paste with vinegar and sugar.
"±¹,ÅÁ",³»ÀåÅÁ,Beef Tripe and Intestine Soup,"Soup of beef, tripe and intestines cooked over a long period."
"±¹,ÅÁ",³Ã±¹,Chilled  Soup,"Chilled soups made with eggplant, cucumber, or seaweed. Served in the summer with rice."
¸é,³Ã±¹¼ö,Chilled Noodle Soup,A soup of noodles in chilled yeolmu-kimchi (a water kimchi made of radishes and their leaves) and topped with julienned egg garnish and slices of beef.
¸é,³Ã¸é,Chilled Buckwheat Noodle Soup,"Buckwheat noodles served in a chilled beef broth with slices of beef, radish kimchi, sliced Korean pear, a boiled egg, and seasoned cucumber on top. Vinegar and mustard are added to according to individual taste. This is a favorite summer dish."
Ã¤¼Ò·ù,³ÃÀÌ,Naengi,"Shepherd's purse, a white-flowered plant in the cabbage family, which grows in fields and is picked and eaten in spring."
³ª¹°,³ÃÀÌ³ª¹°(¹«Ä§),Naengi Namul,A vegetable side dish made of naengi (shepherd's purse) parboiled and mixed with a seasoned soy sauce.
"±¹,ÅÁ",³ÃÀÕ±¹,Naengi Soup,"A soup of naengi (shepherd's purse) in a soybean paste (doenjang) broth, usually with clams."
±¸ÀÌ,³Êºñ¾Æ´Ï,Grilled Sliced Beef,"Thinly sliced beef marinated in a bulgogi sauce (soy sauce, sugar, garlic, green onions, and sesame oil), and then grilled."
»ıÃ¤,³ë°¢»ıÃ¤,Seasoned Overripe Cucumbers,"Overripe cucumbers that have turned yellowish are peeled and soaked in salt water. The salted cucumbers are squeezed to eliminate excess water, then chopped and spiced with red chili pepper paste, vinegar, green onions, garlic, black pepper, and sugar."
°î·ù,³ìµÎ,Mung Bean,"Mung beans are ground to make mung bean jelly, mung bean and vegetable pancakes, rice cake coating, and mung bean porridge, similar to a Chinese congee. Mung bean sprouts are also eaten as a vegetable side dish."
¹¬,³ìµÎ¹¬,Mung Bean Jelly,A firm jelly made with mung bean starch. Also called cheongpomuk.
"Àü,Àû",³ìµÎºó´ë¶±,Mung Bean Pancake,"A fried pancake made of mung bean flour and a little glutinous rice flour cooked with pork, sliced kimchi, green bean sprouts, green onions and garlic."
Á×,³ìµÎÁ×,Mung Bean Porridge,"A porridge of mung beans and rice, similar to Chinese congee."
À½Ã»·ù,³ìÂ÷,Green Tea,"A tea made from tea leaves picked when tender and green, then dried carefully to preserve the green color."
¹ä,³ìÂ÷¹ä,Green Tea Rice,Rice cooked in green tea instead of plain water.
¾î·ù,³ó¾î,Sea Bass,"Sea bass is finely sliced and eaten raw, grilled, braised, or cooked in soups."
±âÅ¸,´©·îÁö,Browned Rice,"Crusty, browned rice made from the scorched part of steamed rice that is usually stuck to the bottom of the rice pot. lt is eaten in hot water as a browned rice tea after a meal or fried as a crispy snack. Also called nurunbap."
"Àü,Àû",´©¸§Àû,Pan-fried Green Onion and Fiddlehead,"Thin green onions and fiddleheads cut into similar lengths, then mixed in a flour and egg batter and pan-fried."
"±¹,ÅÁ",´Ù½½±ê±¹,Small Freshwater Snail Soup,"A soup made of soybean paste (doenjang) broth, red chili pepper paste, vegetables, and small freshwater snails. Also called olgaengitguk."
ÇØÁ¶·ù,´Ù½Ã¸¶,Kelp,"Boiled and served cold with red chili pepper paste to make a vegetable for ssam, cooked to make a soup broth, or deep-fried as a side dish or snack."
½Ó,´Ù½Ã¸¶½Ó,Kelp Wraps,"Slices of fresh kelp used as a wrap for rice and other foods, dipped in pickled anchovy sauce before eating."
"Àü,Àû",´ëÇÏÀü,Pan-fried King Prawn,"Peeled king prawns coated in flour, dipped in egg, and pan-fried."
Âò,´ëÇÏÂò,Steamed Stuffed King Prawns,"King prawns stuffed with seasoned minced beef, steamed, and topped with mushrooms, julienned egg garnish, and red chili pepper threads."
ÆĞ·ù,´ëÇÕ,Clam(l),
±¸ÀÌ,´ëÇÕ±¸ÀÌ,Grilled Clams,"Big clams grilled in the shell. The clams can also be chopped and mixed with minced beef, dubu (soybean curd / tofu) and seasonings, put back in the shell and then grilled."
"±¹,ÅÁ",´ëÇÕ±¹ / ´ëÇÕº°ÅÁ,Clam Soup(1),"A clear soup with clams. Sometimes the clams are taken from their shells, mixed with beef and seasonings, and put back in their shells before being cooked and put in the soup."
Àü°ñ,´ëÇÕÀü°ñ,Clam Hot Pot,"A hot pot of clams, beef, and vegetables in broth."
Á×,´ëÇÕÁ×,Clam and Rice Porridge,A porridge made of rice and clams.
Âò,´ëÇÕÂò,Steamed Stuffed Clams,"Clam shells stuffed with chopped clams, minced beef, shiitake mushrooms, and egg, and then steamed."
Ã¤¼Ò·ù,´õ´ö,Deodeok,"A perennial vine, the deodeok(bonnet bellflower) root has a distinctive smell. It is grilled or steamed as a side dish and is also used as medicine."
±¸ÀÌ,´õ´ö±¸ÀÌ,Grilled Deodeok,Deodoek root marinated in soy sauce and red chili pepper paste and then grilled.
±èÄ¡,´õ´ö±èÄ¡,Deodeok Kimchi,"A kimchi made of deodeok root, white radish and Chinese cabbage."
»ıÃ¤,´õ´ö¹«Ä§,Spicy Deodeok,Deodeok root shredded into small pieces by hand and seasoned with a red chili pepper paste sauce.
»ıÃ¤,´õ´ö»ıÃ¤,Deodeok Salad,Deodeok root mixed with red chili pepper powder and other seasonings.
Àå¾ÆÂî,´õ´öÀå¾ÆÂî,Deodeok Pickles,A side dish of deodeok roots pickled in red chili pepper paste.
"±¹,ÅÁ",µµ°¡´ÏÅÁ,Ox Knee Soup,A soup made of beef and ox knee simmered for a long time. It is served with salt and chopped green onions on the side so it can be seasoned to taste at the table.
Ã¤¼Ò·ù,µµ¶óÁö,Bellflower Roots,The roots of the Bellflower are either grilled or seasoned and served raw.
³ª¹°,µµ¶óÁö³ª¹°,Bellflower Root Namul,"A side dish of bellflower roots cooked in water, drained, then sauteed with chopped green onions, garlic, and sesame salt."
